NAME,CODE,OPEN,HIGH,LOW,CLOSE
NAT.ALUM    ,532234, 67.25, 68.3, 66.4, 66.65
AMINTAN     ,541771, 0.84, 0.85, 0.79, 0.81
FINKURVE    ,508954, 41.0, 44.6, 41.0, 43.85
SHARDUL SECU,512393, 53.8, 53.8, 50.0, 50.0
IMCAP       ,511628, 45.1, 45.1, 45.1, 45.1
CRISIL LTD  ,500092, 1890.0, 1898.9, 1877.35, 1892.1
1005SEFL24  ,936428, 340.0, 340.0, 340.0, 340.0
JINDAL DRILL,511034, 93.0, 100.75, 92.5, 97.95
ALEM PHARMA ,533573, 1003.0, 1003.0, 948.0, 956.0
LAMBODHARA T,590075, 56.9, 59.05, 55.65, 58.5
930EFSL31   ,937501, 999.5, 999.5, 999.5, 999.5
ZENITH HEALT,530665, 6.84, 6.84, 6.84, 6.84
BAJ HOLD INV,500490, 3470.0, 3482.7, 3411.4, 3435.75
AMRUTANJAN  ,590006, 625.0, 638.05, 625.0, 629.15
CRANE INFRA ,538770, 4.26, 4.26, 4.04, 4.04
PORWAL AUTO ,532933, 17.75, 17.75, 17.0, 17.45
BARTRONICSIN,532694, 2.21, 2.29, 2.2, 2.29
MRPL        ,500109, 44.25, 44.75, 43.15, 43.6
OZONEWORLD  ,539291, 70.15, 70.15, 57.2, 66.3
ABM KNOWLEDG,531161, 112.95, 112.95, 108.05, 108.75
BDH INDUS.  ,524828, 98.8, 98.8, 94.0, 96.5
IFGLEXPOR   ,540774, 385.1, 389.0, 373.8, 379.45
UNIQUE ORGAN,530997, 12.7, 13.3, 12.7, 13.3
TV TODAY    ,532515, 284.0, 287.4, 283.05, 285.0
FUNDVISER   ,530197, 5.0, 5.0, 5.0, 5.0
TEJASNET    ,540595, 186.9, 187.65, 178.1, 179.3
REL.CHEMOTX ,503162, 88.0, 92.7, 88.0, 89.3
HATHWAY BHAW,509073, 17.45, 17.45, 16.25, 16.8
SALSTEEL    ,532604, 4.9, 4.9, 4.57, 4.67
